cells,UMAP1,UMAP2
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D12_S144_comb,12.893072,16.947113
CY89NEG_B03_S15_comb,7.45895,16.87883
Cy81_Bulk_CD45_E04_S148_comb,9.865284,11.663296
Cy80_II_CD45_D11_S911_comb,9.660085,13.446639
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D05_S137_comb,11.623588,17.426828
cy78_CD45_neg_1_E03_S531_comb,8.351213,15.311586
CY88_3_C10_S610_comb,6.9853497,15.881081
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B08_S308_comb,13.168201,15.968468
cy78_CD45_neg_1_E07_S535_comb,6.0287,14.899568
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B12_S24_comb,10.942323,16.938007
CY89NEG_G01_S73_comb,7.313044,16.82909
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B02_S14_comb,12.90216,16.765873
cy79_p4_CD45_neg_PDL1_pos_G08_S464_comb,10.721501,16.456652
cy81_FNA_CD45_neg_F09_S1029_comb,10.396328,12.060584
cy78_CD45_neg_2_C06_S606_comb,5.744061,13.460299
Cy81_FNA_CD45_G10_S370_comb,9.610547,11.33374
Cy71_CD45_E11_S539_comb,6.7435966,12.984886
CY88_5_D11_S719_comb,6.9462156,14.810316
cy82_CD45_pos_2_D11_S527_comb,11.632418,13.486964
CY89FNAQ2_F06_S450_comb,7.3813887,16.92502
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C08_S32_comb,10.520321,16.823046
cy78_CD45_neg_3_G02_S746_comb,5.9212513,15.636272
Cy81_FNA_CD45_C09_S321_comb,9.490304,11.466658
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F06_S66_comb,12.583525,15.169619
cy78_CD45_neg_1_B02_S494_comb,6.139354,15.428309
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E01_S49_comb,12.442292,16.009779
cy80_CD45_neg_D04_S904_comb,9.841668,13.225057
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F01_S157_comb,10.928199,17.478657
cy79_p4_CD45_neg_PDL1_pos_A02_S386_comb,10.5231495,16.852434
cy80_CD45_neg_E02_S914_comb,9.711297,13.373255
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D09_S45_comb,12.1458235,17.22331
cy78_CD45_neg_1_H07_S571_comb,5.5307636,14.93385
Cy80_II_CD45_G07_S943_comb,9.620951,13.081015
cy78_CD45_neg_1_F06_S546_comb,5.451551,15.311179
cy81_FNA_CD45_neg_E04_S1012_comb,10.776265,11.710098
cy81_Bulk_CD45_neg_E04_S148_comb,10.763483,11.797147
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H01_S181_comb,11.929653,17.011538
cy81_Bulk_CD45_neg_C11_S131_comb,10.610104,11.961376
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A04_S4_comb,13.04351,16.91773
cy81_Bulk_CD45_neg_D09_S141_comb,10.75494,11.7133045
Cy71_CD45_G08_S560_comb,6.8663406,13.146785
CY89CORE11_A04_S100_comb,8.393321,17.08371
cy80_CD45_neg_G02_S938_comb,9.666267,13.292812
CY88_5_H03_S759_comb,7.1771283,15.640932
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B08_S20_comb,12.9299755,16.537144
CY88_5_E04_S724_comb,7.270049,16.046227
CY89NEG_H11_S95_comb,8.031732,17.003342
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D11_S335_comb,11.73094,17.10946
cy79_p5_CD45_neg_PDL1_neg_E02_S818_comb,12.100592,17.132627
cy82_CD45_pos_3_B11_S23_comb,11.995743,13.123109
cy81_FNA_CD45_neg_F08_S1028_comb,10.650257,11.826312
CY88_3_D07_S619_comb,7.1099644,15.438901
cy79_p3_CD45_neg_PDL1_neg_F09_S261_comb,10.170726,16.805073
CY88_3_G09_S657_comb,7.391962,15.6856165
cy79_p5_CD45_neg_PDL1_neg_D03_S807_comb,13.026311,16.461203
CY88_5_H08_S764_comb,7.209517,15.506626
cy79_p4_CD45_neg_PDL1_neg_F08_S1124_comb,9.916044,16.232658
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D10_S334_comb,11.205116,15.7124
cy81_FNA_CD45_neg_G12_S1044_comb,10.8294,11.803693
CY88_3_B04_S592_comb,8.421961,15.479375
cy79_p5_CD45_neg_PDL1_pos_A11_S683_comb,10.111901,16.512974
Cy71_CD45_F06_S546_comb,6.325223,13.232314
cy79_p5_CD45_neg_PDL1_pos_G11_S755_comb,10.59223,17.554064
cy79_p5_CD45_neg_PDL1_pos_C10_S706_comb,12.036589,16.124973
cy79_p3_CD45_neg_PDL1_neg_F08_S260_comb,10.25916,16.207718
cy53_1_CD45_neg_B02_S302_comb,9.676429,11.593489
CY89NEG_F05_S65_comb,7.4991593,17.040487
cy80_CD45_neg_H08_S956_comb,9.9338,13.914194
Cy81_Bulk_CD45_D01_S133_comb,9.710294,10.565593
cy79_p3_CD45_neg_PDL1_neg_G03_S267_comb,9.248398,16.236425
Cy81_Bulk_CD45_D10_S142_comb,10.375991,11.72678
