cells,UMAP1,UMAP2
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D06_S42_comb,9.762855,17.1355
CY89NEG_F12_S72_comb,8.410762,16.224009
CY89NEG_A08_S8_comb,7.7437925,16.610706
cy79_p5_CD45_neg_PDL1_pos_H07_S763_comb,10.768089,16.00636
cy78_CD45_neg_3_A07_S679_comb,6.014582,16.032822
Cy80_II_CD45_A02_S866_comb,9.267534,13.185897
cy80_CD45_neg_F11_S935_comb,9.8492,13.50864
Cy80_II_CD45_D07_S907_comb,9.641703,13.153599
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E07_S55_comb,11.446071,17.333607
cy79_p4_CD45_neg_PDL1_pos_B02_S398_comb,11.655593,15.915151
CY89CORE11_G05_S173_comb,7.93596,15.763725
cy79_p4_CD45_neg_PDL1_pos_E03_S435_comb,11.167775,16.156708
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G11_S179_comb,12.841362,16.964764
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E07_S343_comb,10.981103,16.400219
cy79_p3_CD45_neg_PDL1_neg_C12_S228_comb,9.671164,17.126902
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F02_S158_comb,12.9279785,15.714966
CY89NEG_G07_S79_comb,8.514898,16.828695
cy78_CD45_neg_1_H10_S574_comb,6.0597258,15.301081
CY89CORE11_F06_S162_comb,8.323229,16.961836
CY88_5_E10_S730_comb,6.984472,14.374025
cy78_CD45_neg_1_G02_S554_comb,6.3022394,15.169192
CY89NEG_F06_S66_comb,8.156326,17.219397
cy81_Bulk_CD45_neg_C01_S121_comb,10.762338,11.6366205
Cy81_FNA_CD45_F10_S358_comb,9.710013,11.381044
cy80_CD45_neg_E09_S921_comb,9.866833,13.155873
cy79_p3_CD45_neg_PDL1_neg_G05_S269_comb,11.156851,15.430596
CY88_5_G11_S755_comb,7.7709875,14.190846
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E05_S341_comb,10.472494,17.290182
CY89NEG_E10_S58_comb,7.8618026,16.58155
cy82_CD45_pos_3_A10_S10_comb,12.1082115,13.128942
CY89NEG_H12_S96_comb,7.9937954,16.839344
cy80_CD45_neg_G08_S944_comb,10.095982,13.936376
Cy80_II_CD45_F10_S934_comb,10.067797,13.112493
cy82_CD45_pos_2_E03_S531_comb,11.753426,13.261935
cy79_p3_CD45_neg_PDL1_neg_G10_S274_comb,11.147969,16.375303
cy79_p3_CD45_neg_PDL1_neg_D02_S230_comb,11.081665,15.694089
CY88_5_D01_S709_comb,7.9257593,16.112648
cy79_p4_CD45_neg_PDL1_neg_E05_S1109_comb,10.875965,16.802563
Cy81_Bulk_CD45_G02_S170_comb,9.649396,14.138638
Cy80_II_CD45_D12_S912_comb,9.824409,12.974536
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F10_S166_comb,10.254231,17.41948
cy79_p3_CD45_neg_PDL1_neg_B12_S216_comb,10.1941595,17.123075
cy81_Bulk_CD45_neg_A02_S98_comb,10.722096,12.154448
Cy71_CD45_A03_S483_comb,6.1155314,13.365065
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C01_S25_comb,11.829574,16.577291
cy60_1_cd_45_neg_1_B11_S215_comb,8.557824,15.772888
CY89CORE11_C02_S122_comb,7.750154,16.51046
cy81_Bulk_CD45_neg_E12_S156_comb,9.64203,15.401992
Cy81_FNA_CD45_C02_S314_comb,9.703926,11.117518
cy79_p3_CD45_neg_PDL1_neg_A09_S201_comb,8.792419,12.665608
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H11_S383_comb,11.105829,16.019012
CY88_3_G04_S652_comb,7.590107,15.464787
CY89NEG_C04_S28_comb,8.36028,16.464832
Cy81_Bulk_CD45_E01_S145_comb,9.940964,11.603334
CY89CORE11_A10_S106_comb,8.513634,16.572445
CY88_5_H07_S763_comb,7.2304597,15.545752
cy79_p4_CD45_neg_PDL1_pos_A09_S393_comb,11.668102,16.11503
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B11_S23_comb,13.4136305,16.1725
CY88_3_F04_S640_comb,6.732443,14.194417
CY89NEG_G11_S83_comb,8.472039,16.75716
CY88_5_G10_S754_comb,7.753606,14.494395
CY88_5_C03_S699_comb,7.0020742,14.682737
cy78_CD45_neg_3_A10_S682_comb,5.5435915,15.218764
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D04_S40_comb,13.114337,15.888134
cy79_p4_CD45_neg_PDL1_neg_F06_S1122_comb,11.378158,15.611873
cy78_CD45_neg_1_E09_S537_comb,6.7524886,15.746904
CY88_3_E11_S635_comb,7.4916368,14.965677
Cy80_II_CD45_C04_S892_comb,9.619802,13.067369
cy79_p4_CD45_neg_PDL1_neg_D02_S1094_comb,10.93476,16.718424
Cy81_Bulk_CD45_C11_S131_comb,10.204932,11.541862
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C02_S26_comb,11.845514,16.92972
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D01_S133_comb,10.349289,16.624502
Cy71_CD45_B01_S493_comb,6.2535152,13.960289
CY89COREQ1_A09_S297_comb,8.346444,16.977547
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A09_S297_comb,11.509594,16.60474
Cy71_CD45_E09_S537_comb,6.6199102,13.203596
cy82_CD45_pos_3_C01_S25_comb,11.920019,13.322512
cy81_FNA_CD45_neg_C06_S990_comb,9.737095,10.573481
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H03_S183_comb,12.506698,16.481888
cy81_FNA_CD45_neg_H03_S1047_comb,10.48403,12.143801
Cy81_FNA_CD45_C07_S319_comb,9.879262,10.520624
cy78_CD45_neg_1_C04_S508_comb,5.4337354,14.993097
Cy80_II_CD45_B10_S886_comb,9.368749,12.931631
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E08_S344_comb,11.414791,15.412847
cy78_CD45_neg_3_A04_S676_comb,5.8562994,15.874832
Cy71_CD45_G12_S564_comb,5.9618115,14.386437
cy78_CD45_neg_3_G12_S756_comb,5.4901457,15.627118
CY75_1FNA_G06_S558_comb_4,15.400259,0.1647594
CY88_5_F10_S742_comb,7.4728565,15.324255
cy84_Primary_CD45_neg_D05_S1001_comb,8.017905,16.680334
cy79_p5_CD45_neg_PDL1_neg_G01_S841_comb,9.028891,13.052574
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H05_S185_comb,9.393348,16.275108
cy79_p5_CD45_neg_PDL1_pos_B05_S689_comb,10.879685,16.481968
CY88_5_B09_S693_comb,7.430864,14.491506
cy78_CD45_neg_3_E04_S724_comb,5.4611287,15.522176
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F01_S61_comb,12.885683,16.247547
cy79_p5_CD45_neg_PDL1_pos_C07_S703_comb,8.833716,16.335287
Cy81_FNA_CD45_F05_S353_comb,9.919408,10.434178
cy79_p4_CD45_neg_PDL1_pos_C01_S409_comb,12.232073,15.959922
CY89FNAQ2_A09_S393_comb,8.858664,15.818055
CY88_3_G06_S654_comb,7.234073,15.392845
cy78_CD45_neg_3_H09_S765_comb,6.234851,15.711637
cy79_p4_CD45_neg_PDL1_pos_D10_S430_comb,12.152826,16.474281
cy81_Bulk_CD45_neg_E07_S151_comb,10.79178,11.837924
CY89COREQ1_C11_S323_comb,12.752819,-2.9400754
cy79_p4_CD45_pos_PD1_pos_G06_S366_comb,15.899583,4.36688
cy80_Cd45_pos_PD1_pos_B09_S45_comb,12.479854,0.1849545
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_G10_S466_comb,15.644203,4.661355
cy74_CD45_pos_A12_S684_comb,17.004723,3.4317403
CY89A_CD45_POS_10_C12_S228_comb,11.414073,3.1445045
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_G11_S467_comb,12.970065,2.769383
cy79_p4_CD45_pos_PD1_pos_C04_S316_comb,13.075633,2.8986626
CY58_1_CD45_B02_S974_comb,17.641174,0.9794632
cy79_p5_CD45_pos_PD1_pos_G10_S658_comb,17.03327,3.4939003
cy80_CD45_neg_F02_S446_comb,16.608288,3.6216319
cy80_CD45_pos_PD1_pos_E05_S149_comb,11.947772,0.88497275
cy72_CD45_pos_H11_S959_comb,13.643862,-3.9777198
cy58_1_CD45_pos_D08_S620_comb,16.600925,1.9158317
cy60_1_cd_45_pos_4_B04_S16_comb,11.898057,0.48913288
cy79_p4_CD45_neg_PDL1_neg_D09_S1101_comb,13.027596,-3.8890097
cy72_CD45_pos_C08_S896_comb,14.517932,-2.9444032
CY89A_Core_15_E01_S49_comb,15.949589,2.8165202
CY88CD45POS_2_C11_S419_comb,12.86978,-1.5395945
cy82_CD45_pos_2_B09_S501_comb,13.90988,1.6321348
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D05_S233_comb,12.523292,1.103954
cy60_1_cd_45_pos_4_G06_S78_comb,12.788909,-0.615406
CY89COREQ1_A02_S290_comb,12.784839,-3.3850849
cy60_1_cd_45_pos_3_C06_S318_comb,16.967905,2.6162257
CY94CD45POS_1_G06_S174_comb,11.93169,-2.4738073
cy80_CD45_pos_PD1_pos_F11_S167_comb,15.352104,2.0374157
Cy72_CD45_D09_S717_comb,15.20743,-2.745046
cy58_1_CD45_pos_F12_S648_comb,13.736082,-0.8413706
cy79_p5_CD45_pos_PD1_pos_C10_S610_comb,16.668491,1.3170296
cy74_CD45_pos_E12_S732_comb,14.5314045,-0.5433495
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G01_S265_comb,12.584078,1.4304014
cy60_1_cd_45_pos_4_B10_S22_comb,13.820545,-1.1515274
CY88CD45_150813_E07_S343_comb,16.401161,2.2383957
cy72_CD45_pos_B07_S883_comb,14.339486,-2.9186537
CY88CD45POS_2_E03_S435_comb,16.435581,1.8331124
Cy74_CD45_A03_S387_comb,17.556643,2.6007302
CY89A_CD45_POS_10_B02_S206_comb,12.388581,-2.7439532
CY89A_CD45_POS_10_H05_S281_comb,13.911813,2.9103277
Cy74_CD45_F09_S453_comb,16.188051,-0.1213412
cy53_1_CD45_pos_2_F05_S1025_comb,13.646065,0.48682392
cy80_CD45_neg_A09_S393_comb,16.579617,1.856915
CY58_1_CD45_D03_S999_comb,14.574464,-2.731183
cy84_Primary_CD45_pos_C05_S413_comb,16.209538,2.284424
cy60_1_cd_45_pos_4_A06_S6_comb,11.504667,-0.2696377
CY89COREQ1_A04_S292_comb,15.838859,0.75959927
cy79_p5_CD45_pos_PD1_pos_C01_S601_comb,14.697098,3.7243793
CY89A_CD45_POS_6_B03_S111_comb,12.295745,-3.3212397
cy60_1_cd_45_pos_4_G12_S84_comb,13.970287,0.1752818
CY89A_CD45_POS_10_G12_S276_comb,12.341237,-0.29285178
cy94_cd45pos_4_D05_S41_comb,13.0753975,0.3252921
cy79_p4_CD45_pos_PD1_pos_A09_S297_comb,12.736902,0.90316767
Cy72_CD45_C01_S697_comb,15.1429825,-1.878089
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G09_S561_comb,12.8920355,-3.8178005
cy60_1_cd_45_pos_3_H11_S383_comb,11.421456,1.2976823
Cy71_CD45_D07_S523_comb,15.311855,2.3126042
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C08_S416_comb,12.215687,1.1328001
CY94CD45POS_1_D11_S143_comb,13.617931,-1.6373322
cy60_1_cd_45_pos_3_A05_S293_comb,14.094682,-1.6160514
cy74_CD45_pos_D09_S717_comb,16.979528,3.0726755
Cy74_CD45_D04_S424_comb,16.383177,-0.3836275
cy88_cd_45_pos_G03_S459_comb,13.205599,-0.6674039
CY89COREQ1_E09_S345_comb,15.915113,3.6295378
CY89COREQ1_B07_S307_comb,14.630963,1.8176814
cy80_CD45_neg_H12_S480_comb,15.3406,-1.0153726
CY75_1FNA_E07_S535_comb,13.851037,-2.7900264
CY89A_CD45_POS_6_A07_S103_comb,12.74343,0.9669518
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H01_S277_comb,12.451111,2.6968868
cy72_CD45_pos_D03_S903_comb,12.668468,-2.6624594
Cy74_CD45_C11_S419_comb,17.31083,0.09521696
cy79_p4_CD45_pos_PD1_pos_B03_S303_comb,12.92424,2.671015
CY88CD45_150813_D04_S328_comb,8.841487,12.818095
CY89A_CD45_POS_10_A04_S196_comb,15.640112,2.165288
cy60_1_cd_45_pos_4_D03_S39_comb,14.117712,0.46742716
cy58_1_CD45_pos_D10_S622_comb,16.057554,3.4910345
cy84_Primary_CD45_pos_A09_S393_comb,13.480554,-0.86970264
cy84_Met_CD45_pos_C08_S896_comb,16.061684,0.14389926
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B10_S406_comb,13.58796,2.6527452
Cy81_FNA_CD45_D07_S235_comb,13.142152,-2.2267165
Cy72_CD45_D07_S715_comb,13.433934,-0.47508258
cy79_p4_CD45_pos_PD1_pos_G07_S367_comb,16.890032,4.140028
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H08_S572_comb,12.889628,-3.6710112
cy80_CD45_neg_C11_S419_comb,13.934258,1.8393323
Cy72_CD45_E08_S728_comb,14.597218,-2.7260382
cy72_CD45_pos_B03_S879_comb,13.588176,-2.9477825
cy84_Primary_CD45_pos_E05_S437_comb,12.5444145,-0.6107004
cy80_CD45_pos_PD1_pos_G05_S173_comb,16.717411,2.4497588
Cy71_CD45_B07_S499_comb,16.812693,1.7338085
cy94_cd45pos_A05_S101_comb,12.994717,-1.7569361
cy53_1_CD45_pos_1_H03_S87_comb,13.866384,-2.2353606
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C02_S218_comb,16.150202,4.3318787
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C08_S224_comb,15.116083,4.144159
cy72_CD45_pos_G10_S946_comb,14.181145,-2.7297928
cy84_Primary_CD45_pos_H09_S477_comb,10.84646,0.5658788
cy72_CD45_pos_F07_S931_comb,13.845519,-3.8524637
cy53_1_CD45_pos_1_E06_S54_comb,14.86978,-1.4098529
cy79_p5_CD45_pos_PD1_pos_E08_S632_comb,14.877294,0.24237712
cy58_1_CD45_pos_D06_S618_comb,16.367575,1.3192389
cy80_CD45_pos_PD1_pos_E04_S148_comb,11.205879,0.8497478
cy60_1_cd_45_pos_3_F04_S352_comb,12.335321,0.1138757
cy72_CD45_pos_A06_S870_comb,13.7104025,-3.9879863
CY89FNA_C01_S217_comb,13.770506,-1.7397774
cy74_CD45_pos_G03_S747_comb,16.979887,1.7570282
CY89COREQ1_H09_S381_comb,13.77005,-1.9037309
Cy71_CD45_E03_S531_comb,10.853771,1.0791678
Cy74_CD45_H03_S471_comb,17.02324,2.8677864
CY89A_CD45_POS_6_C07_S127_comb,11.556606,1.1791717
cy80_Cd45_pos_PD1_pos_B11_S47_comb,12.899352,-0.015145202
cy72_CD45_pos_C02_S890_comb,12.713171,-1.8183315
cy80_Cd45_pos_PD1_pos_S189_H09_S189_comb,12.445482,0.6902436
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H10_S286_comb,15.476021,3.914881
cy80_CD45_neg_E11_S443_comb,14.870063,1.5493289
cy88_cd_45_pos_F11_S455_comb,16.320753,0.55498713
CY58_1_CD45_A06_S966_comb,16.982208,3.1159914
cy94_cd45pos_4_D11_S47_comb,14.530531,-1.2392298
cy53_1_CD45_pos_1_B11_S23_comb,14.571187,-1.7728769
CY89COREQ1_F11_S359_comb,16.776962,3.1502135
cy79_p4_CD45_pos_PD1_pos_A04_S292_comb,14.9697485,3.5642726
cy74_CD45_pos_B04_S688_comb,15.827358,-0.4396465
Cy81_FNA_CD45_A09_S201_comb,17.7981,-1.246147
CY89A_CD45_POS_6_B11_S119_comb,13.43178,1.0396107
CY94CD45POS_1_B11_S119_comb,12.532248,-2.0839448
Cy81_FNA_CD45_B12_S216_comb,13.265772,-0.40933427
Cy71_CD45_B08_S500_comb,14.73255,-1.8688517
cy72_CD45_pos_E07_S919_comb,14.275534,-3.5641043
cy84_Primary_CD45_pos_A06_S390_comb,11.639018,-0.3618279
cy72_CD45_pos_H10_S958_comb,14.275864,-2.3118553
cy80_Cd45_pos_PD1_pos_A05_S17_comb,12.822886,0.21125361
cy94_cd45pos_F04_S160_comb,12.382608,-1.9746059
cy88_cd_45_pos_3_C01_S601_comb,17.209305,2.0520482
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F08_S452_comb,12.4549055,0.8523833
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C10_S994_comb,18.051336,1.2766688
cy80_Cd45_pos_PD1_pos_C02_S62_comb,12.768633,0.15592009
cy58_1_CD45_pos_B02_S590_comb,13.507226,-2.6034276
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C01_S409_comb,16.011818,4.180519
cy72_CD45_pos_A08_S872_comb,13.499232,-3.6946259
cy79_p5_CD45_pos_PD1_pos_A04_S580_comb,16.387726,4.226029
cy80_Cd45_pos_PD1_pos_S165_G09_S165_comb,14.926108,0.37257078
cy80_Cd45_pos_PD1_pos_S115_E07_S115_comb,15.418465,0.6388221
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_A08_S392_comb,15.79155,4.687667
cy74_CD45_pos_C05_S701_comb,16.845438,2.913518
cy80_Cd45_pos_PD1_pos_C07_S67_comb,12.159383,1.0257307
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_D12_S432_comb,12.997479,2.60997
CY58_1_CD45_D11_S1007_comb,14.704886,-0.46988377
CY94CD45POS_1_H08_S188_comb,12.275882,-1.8905014
cy58_1_CD45_pos_A07_S583_comb,15.927786,2.3703012
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H03_S279_comb,15.151409,4.4410973
Cy72_CD45_F12_S744_comb,14.993687,-2.6101408
cy74_CD45_pos_A09_S681_comb,15.661278,3.3266754
cy74_CD45_pos_D02_S710_comb,16.73551,2.8391647
cy94_cd45neg_cd90pos_G06_S366_comb,11.871537,-1.7357031
cy79_p5_CD45_pos_PD1_pos_F06_S642_comb,16.383667,3.9587288
cy72_CD45_pos_E08_S920_comb,12.579851,-2.5427394
cy80_CD45_pos_PD1_pos_F05_S161_comb,16.645578,2.3487298
cy60_1_cd_45_pos_4_C03_S27_comb,14.090351,0.85241324
cy84_Primary_CD45_pos_G06_S462_comb,12.859395,-0.6549091
cy84_Primary_CD45_pos_C01_S409_comb,14.196235,2.481376
Cy72_CD45_C07_S703_comb,14.898982,-3.0505285
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C04_S412_comb,12.380693,1.6327848
cy94_cd45pos_G03_S171_comb,11.943463,-2.3043065
cy72_CD45_pos_H01_S949_comb,13.83914,-3.2289245
cy94_cd45pos_D12_S144_comb,13.448409,-1.3445032
cy80_CD45_pos_PD1_pos_G01_S169_comb,13.633797,0.4091827
cy80_CD45_pos_PD1_pos_B11_S119_comb,14.077348,2.352788
CY89A_CD45_POS_6_G11_S179_comb,15.919072,2.9129677
cy84_Met_CD45_pos_G05_S941_comb,14.183438,-2.912598
cy74_CD45_pos_F12_S744_comb,15.598137,3.3584187
cy80_CD45_pos_PD1_pos_D12_S144_comb,16.33558,-0.037801493
cy79_p4_CD45_pos_PD1_pos_C11_S323_comb,13.146274,2.240788
cy88_cd_45_pos_3_F07_S643_comb,14.3961735,-1.312718
cy84_Met_CD45_pos_F09_S933_comb,17.336016,1.4808971
cy80_CD45_neg_B11_S407_comb,12.483336,-2.3736901
CY89A_CD45_POS_6_F02_S158_comb,14.197939,0.7420216
cy58_1_CD45_pos_H02_S662_comb,14.445839,-2.9672275
cy58_1_CD45_pos_A04_S580_comb,14.571753,0.12145231
cy80_Cd45_pos_Pd1_neg_S196_A04_S196_comb,14.335129,1.03749
cy80_Cd45_pos_PD1_pos_S120_E12_S120_comb,12.630493,-0.80352587
Cy74_CD45_F07_S451_comb,17.952778,1.5913508
cy74_CD45_pos_B06_S690_comb,13.044822,2.7245674
CY89A_CD45_POS_6_H11_S191_comb,16.057215,1.056477
cy79_p5_CD45_pos_PD1_pos_B04_S592_comb,14.132237,3.245981
cy79_p5_CD45_pos_PD1_pos_F10_S646_comb,15.865639,4.071915
CY89A_Core_15_F02_S62_comb,15.055827,-1.4202005
cy80_CD45_pos_PD1_pos_H06_S186_comb,12.155468,-0.7039437
Cy81_FNA_CD45_B04_S208_comb,16.971464,-1.1046672
cy79_p3_CD45_pos_PD1_neg_E04_S148_comb,12.887284,-3.8395917
cy80_Cd45_pos_Pd1_neg_S272_D08_S272_comb,12.403057,-1.7476904
cy58_1_CD45_pos_C12_S612_comb,16.281916,2.3073416
CY89COREQ1_D09_S333_comb,14.156395,2.3373568
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D01_S997_comb,17.055862,2.382141
cy80_CD45_pos_PD1_pos_F03_S159_comb,12.790616,0.08752363
Cy74_CD45_C02_S410_comb,17.581823,1.0392015
CY89A_Core_15_F11_S71_comb,16.128153,3.0601344
Cy81_FNA_CD45_G01_S265_comb,9.10844,11.770123
Cy81_FNA_CD45_D02_S230_comb,15.199167,-2.7396355
cy79_p4_CD45_pos_PD1_pos_A03_S291_comb,17.513641,2.1275399
cy60_1_cd_45_pos_4_C05_S29_comb,16.235481,1.9750175
cy72_CD45_pos_F03_S927_comb,13.801485,-3.5301206
cy80_Cd45_pos_PD1_pos_S159_G03_S159_comb,15.635719,0.76006925
cy74_CD45_pos_C09_S705_comb,18.05982,2.4425242
CY58_1_CD45_A10_S970_comb,11.035152,0.9792784
cy82_CD45_pos_2_G03_S555_comb,10.990073,0.80841374
Cy72_CD45_D12_S720_comb,14.759198,-3.2839942
CY89A_Core_15_H06_S90_comb,17.080397,2.909221
cy79_p4_CD45_pos_PD1_pos_D08_S332_comb,16.753878,3.6084337
cy94_cd45pos_4_E02_S50_comb,12.9331455,-1.7934693
cy80_CD45_pos_PD1_pos_B07_S115_comb,14.254822,2.0983372
CY58_1_CD45_F11_S1031_comb,14.828977,-2.516166
cy53_1_CD45_pos_2_A05_S965_comb,17.593824,-1.2261968
cy72_CD45_pos_B09_S885_comb,14.045054,-3.1427667
cy72_CD45_pos_A07_S871_comb,13.685897,-2.7463834
cy80_CD45_pos_PD1_pos_G10_S178_comb,15.73733,1.128505
cy94_cd45neg_cd90pos_B11_S311_comb,8.831461,11.885211
cy79_p5_CD45_pos_PD1_pos_D02_S614_comb,16.868088,4.2133145
CY89FNA_G11_S275_comb,14.965105,3.6682165
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C11_S419_comb,12.931019,2.861754
cy84_Primary_CD45_pos_D07_S427_comb,13.161028,-0.96701735
cy80_CD45_pos_PD1_pos_G07_S175_comb,17.105045,1.6261276
cy88_cd_45_pos_C03_S411_comb,17.076021,3.1881964
CY89A_Core_15_C07_S31_comb,13.138739,-3.469014
cy84_Primary_CD45_pos_B04_S400_comb,12.018707,0.4342383
cy72_CD45_pos_A12_S876_comb,14.742153,-2.1508305
Cy81_FNA_CD45_F01_S253_comb,9.065428,11.845251
cy80_Cd45_pos_PD1_pos_S138_F06_S138_comb,13.075045,-0.41997698
Cy74_CD45_A08_S392_comb,15.3483,0.44134253
Cy71_CD45_G06_S558_comb,12.906429,-0.8882802
Cy74_CD45_A04_S388_comb,15.701083,-1.7487527
CY58_1_CD45_B01_S973_comb,13.894899,-2.4223213
cy94_cd45pos_4_E12_S60_comb,11.5972,-1.4838817
CY89A_CD45_POS_6_B12_S120_comb,15.710208,3.2167363
CY89COREQ1_F09_S357_comb,15.059156,3.531482
cy84_Primary_CD45_pos_E02_S434_comb,10.732285,1.1290824
CY94CD45POS_1_B10_S118_comb,12.640563,-0.47906196
CY94CD45POS_1_E01_S145_comb,12.709201,-0.37338862
CY75_1FNA_G09_S561_comb,11.763948,-0.22248606
CY58_1_CD45_H12_S1056_comb,15.504062,-1.0484105
cy94_cd45pos_A11_S107_comb,14.910785,2.4315484
cy84_Met_CD45_pos_D03_S903_comb,13.6897545,-2.2420628
cy58_1_CD45_pos_H01_S661_comb,17.796417,1.1400784
cy79_p5_CD45_pos_PD1_pos_A07_S583_comb,16.43478,4.213214
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G08_S272_comb,13.109585,2.762766
cy53_1_CD45_pos_1_D11_S47_comb,14.619702,-2.3662865
CY58_1_CD45_F05_S1025_comb,13.791283,-0.43039587
cy72_CD45_pos_A04_S868_comb,12.309035,-3.0359535
cy88_cd_45_pos_D11_S431_comb,14.233093,0.71695346
cy74_CD45_pos_B05_S689_comb,17.09618,2.970095
CY58_1_CD45_H02_S1046_comb,12.841624,2.448288
cy94_cd45pos_4_B03_S15_comb,13.515605,-1.2952242
cy80_CD45_pos_PD1_pos_F07_S163_comb,17.149652,1.614456
cy80_Cd45_pos_PD1_pos_S191_H11_S191_comb,16.736652,2.932076
CY75_1FNA_G07_S559_comb,14.568972,-1.2969378
cy74_CD45_pos_C04_S700_comb,14.39819,2.6301782
cy80_Cd45_pos_PD1_pos_S192_H12_S192_comb,13.328038,1.5321287
cy60_1_cd_45_pos_3_A11_S299_comb,15.87194,2.802659
cy58_1_CD45_pos_B08_S596_comb,15.028815,2.8633237
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E11_S539_comb,13.622989,-3.5804698
CY89A_CD45_POS_6_D03_S135_comb,14.979203,2.5553682
cy94_cd45pos_F03_S159_comb,9.14735,-1.6601669
cy79_p5_CD45_pos_PD1_pos_G04_S652_comb,16.618824,3.7089849
CY94CD45POS_1_H10_S190_comb,14.00191,-0.03354823
Cy74_CD45_G02_S458_comb,13.863561,0.38956583
cy82_CD45_pos_3_G08_S80_comb,16.664228,3.6717768
CY89FNA_D02_S230_comb,12.270406,-2.3263497
cy80_CD45_neg_F06_S450_comb,13.514758,-1.0362927
cy94_cd45pos_4_C09_S33_comb,11.742865,1.3787315
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B02_S398_comb,14.831809,3.8949268
CY94CD45POS_1_G11_S179_comb,13.336863,-0.26990432
Cy72_CD45_G12_S756_comb,13.829386,-2.4785802
cy80_CD45_pos_PD1_pos_E02_S146_comb,13.08079,0.14080548
cy88_cd_45_pos_3_B07_S595_comb,13.596711,-0.0061135124
cy88_cd_45_pos_3_B05_S593_comb,11.029662,1.3246595
CY88CD45_150813_F01_S349_comb,14.985931,-0.61473805
cy80_Cd45_pos_Pd1_neg_S251_C11_S251_comb,12.879497,-2.9709036
cy79_p5_CD45_pos_PD1_pos_C11_S611_comb,14.094843,3.6329796
cy72_CD45_pos_H09_S957_comb,13.784287,-4.0274696
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F04_S448_comb,16.355587,3.4663653
cy80_Cd45_pos_PD1_pos_S162_G06_S162_comb,12.837245,0.97657096
CY89A_Core_15_C10_S34_comb,15.083109,2.153853
cy79_p4_CD45_pos_PD1_pos_D02_S326_comb,15.95156,4.5883694
cy79_p4_CD45_pos_PD1_pos_G08_S368_comb,16.21266,4.111029
cy94_cd45pos_4_D02_S38_comb,12.387589,-1.4525942
CY89COREQ1_H07_S379_comb,15.275532,3.7263072
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C10_S226_comb,15.436534,3.870682
CY89A_CD45_POS_10_A06_S198_comb,13.015781,-3.0344505
cy74_CD45_pos_G02_S746_comb,14.42298,-1.1114321
cy94_cd45pos_4_G07_S79_comb,11.550004,-1.3421143
cy94_cd45pos_4_G11_S83_comb,12.888483,-2.1603665
cy79_p5_CD45_pos_PD1_pos_F08_S644_comb,15.28703,3.5730205
CY84_PRIM_POS_ALL_6_A07_S391_comb,16.846804,1.6615237
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H12_S1056_comb,15.566226,2.119562
CY75_1FNA_H02_S566_comb,13.082396,-0.80297875
